title,year,href,src
Parasite,2019,parasite-2019,film-poster/4/2/6/4/0/6/426406-parasite-0-460-0-690-crop.jpg
Joker,2019,joker-2019,film-poster/4/0/6/7/7/5/406775-joker-0-460-0-690-crop.jpg
Knives Out,2019,knives-out-2019,film-poster/4/7/5/3/7/0/475370-knives-out-0-460-0-690-crop.jpg
Pulp Fiction,1994,pulp-fiction,film-poster/5/1/4/4/4/51444-pulp-fiction-0-460-0-690-crop.jpg
Inception,2010,inception,sm/upload/sv/95/s9/4j/inception-0-460-0-690-crop.jpg
Spider-Man: Into the Spider-Verse,2018,spider-man-into-the-spider-verse,film-poster/2/5/1/9/4/3/251943-spider-man-into-the-spider-verse-0-460-0-690-crop.jpg
Fight Club,1999,fight-club,film-poster/5/1/5/6/8/51568-fight-club-0-460-0-690-crop.jpg
The Dark Knight,2008,the-dark-knight,sm/upload/78/y5/zg/ej/oefdD26aey8GPdx7Rm45PNncJdU-0-460-0-690-crop.jpg
Midsommar,2019,midsommar,film-poster/4/5/9/5/6/4/459564-midsommar-0-460-0-690-crop.jpg
Get Out,2017,get-out-2017,film-poster/3/5/3/1/1/7/353117-get-out-0-460-0-690-crop.jpg
Spider-Man: No Way Home,2021,spider-man-no-way-home,film-poster/5/6/0/7/8/7/560787-spider-man-no-way-home-0-460-0-690-crop.jpg
Lady Bird,2017,lady-bird,film-poster/3/2/6/2/7/9/326279-lady-bird-0-460-0-690-crop.jpg
Interstellar,2014,interstellar,film-poster/1/1/7/6/2/1/117621-interstellar-0-460-0-690-crop.jpg
Once Upon a Time� in Hollywood,2019,once-upon-a-time-in-hollywood,film-poster/3/9/7/8/5/9/397859-once-upon-a-time-in-hollywood-0-460-0-690-crop.jpg
Dune,2021,dune-2021,sm/upload/nx/8b/vs/gc/cDbNAY0KM84cxXhmj8f0dLWza3t-0-460-0-690-crop.jpg
The Batman,2022,the-batman,film-poster/3/4/8/9/1/4/348914-the-batman-0-460-0-690-crop.jpg
The Grand Budapest Hotel,2014,the-grand-budapest-hotel,film-poster/9/5/1/1/3/95113-the-grand-budapest-hotel-0-460-0-690-crop.jpg
La La Land,2016,la-la-land,film-poster/2/4/0/3/4/4/240344-la-la-land-0-460-0-690-crop.jpg
Avengers: Infinity War,2018,avengers-infinity-war,film-poster/2/2/6/6/6/1/226661-avengers-infinity-war-0-460-0-690-crop.jpg
The Wolf of Wall Street,2013,the-wolf-of-wall-street,film-poster/8/6/1/1/4/86114-the-wolf-of-wall-street-0-460-0-690-crop.jpg
The Shining,1980,the-shining,sm/upload/7s/m2/bw/d0/caoYMcjUamGoBVy65i1AHJBvdzw-0-460-0-690-crop.jpg
Avengers: Endgame,2019,avengers-endgame,film-poster/2/2/6/6/6/0/226660-avengers-endgame-0-460-0-690-crop.jpg
Inglourious Basterds,2009,inglourious-basterds,film-poster/4/1/3/5/2/41352-inglourious-basterds-0-460-0-690-crop.jpg
Baby Driver,2017,baby-driver,film-poster/2/6/8/9/5/0/268950-baby-driver-0-460-0-690-crop.jpg
Whiplash,2014,whiplash-2014,sm/upload/cl/dn/kr/f1/4C9LHDxMsoYI0S3iMPZdm3Oevwo-0-460-0-690-crop.jpg
Gone Girl,2014,gone-girl,film-poster/1/4/9/8/5/7/149857-gone-girl-0-460-0-690-crop.jpg
Black Panther,2018,black-panther,film-poster/2/0/9/3/8/3/209383-black-panther-0-460-0-690-crop.jpg
Spirited Away,2001,spirited-away,film-poster/5/1/9/2/1/51921-spirited-away-0-460-0-690-crop.jpg
Jojo Rabbit,2019,jojo-rabbit,film-poster/4/4/4/6/0/0/444600-jojo-rabbit-0-460-0-690-crop.jpg
Her,2013,her,sm/upload/au/nb/i6/lq/fsoTLnUXEUTNuVCBxAJMY0HPPd-0-460-0-690-crop.jpg
The Social Network,2010,the-social-network,sm/upload/nw/cm/pa/ai/sGQv3ZMZBDBnl3z42Q0mEQ5uiDe-0-460-0-690-crop.jpg
Eternal Sunshine of the Spotless Mind,2004,eternal-sunshine-of-the-spotless-mind,sm/upload/ay/bp/kl/1y/uBfQ7IGpi0jXSP3GPCzp9Pzm10v-0-460-0-690-crop.jpg
The Matrix,1999,the-matrix,film-poster/5/1/5/1/8/51518-the-matrix-0-460-0-690-crop.jpg
Guardians of the Galaxy,2014,guardians-of-the-galaxy,film-poster/9/3/6/7/6/93676-guardians-of-the-galaxy-0-460-0-690-crop.jpg
The Truman Show,1998,the-truman-show,sm/upload/xx/io/jp/45/the-truman-show-0-460-0-690-crop.jpg
Django Unchained,2012,django-unchained,film-poster/5/2/5/1/6/52516-django-unchained-0-460-0-690-crop.jpg
Little Women,2019,little-women-2019,sm/upload/r4/np/q5/te/mSmiB8XjUnR1GSIljuCPGsk0cwX-0-460-0-690-crop.jpg
Arrival,2016,arrival-2016,sm/upload/3u/dy/qd/qd/4Iu5f2nv7huqvuYkmZvSPOtbFjs-0-460-0-690-crop.jpg
The Silence of the Lambs,1991,the-silence-of-the-lambs,film-poster/5/1/7/8/2/51782-the-silence-of-the-lambs-0-460-0-690-crop.jpg
The Lighthouse,2019,the-lighthouse-2019,film-poster/4/3/3/8/6/3/433863-the-lighthouse-0-460-0-690-crop.jpg
Call Me by Your Name,2017,call-me-by-your-name,sm/upload/g9/9t/cc/7u/tcNniniS4rfqrLH0oORikJfnIwY-0-460-0-690-crop.jpg
Don't Look Up,2021,dont-look-up-2021,film-poster/5/7/2/2/5/5/572255-don-t-look-up-0-460-0-690-crop.jpg
Kill Bill: Vol. 1,2003,kill-bill-vol-1,sm/upload/sw/w2/ep/v4/9O50TVszkz0dcP5g6Ej33UhR7vw-0-460-0-690-crop.jpg
The Godfather,1972,the-godfather,film-poster/5/1/8/1/8/51818-the-godfather-0-460-0-690-crop.jpg
American Psycho,2000,american-psycho,sm/upload/5b/u9/av/il/ecoY7zJL6Ub3URP1oPhPfGflEjV-0-460-0-690-crop.jpg
Forrest Gump,1994,forrest-gump,film-poster/2/7/0/4/2704-forrest-gump-0-460-0-690-crop.jpg
Mad Max: Fury Road,2015,mad-max-fury-road,film-poster/6/2/7/8/0/62780-mad-max-fury-road-0-460-0-690-crop.jpg
Scott Pilgrim vs. the World,2010,scott-pilgrim-vs-the-world,sm/upload/vs/75/02/fx/2B5zjs5E3xerqAyowpw3QcOCyLq-0-460-0-690-crop.jpg
Se7en,1995,se7en,sm/upload/yx/yw/v4/el/mhFXxB76LVgJBIfJM1sAuVBtVKv-0-460-0-690-crop.jpg
Spider-Man: Homecoming,2017,spider-man-homecoming,film-poster/2/4/2/7/1/0/242710-spider-man-homecoming-0-460-0-690-crop.jpg
Uncut Gems,2019,uncut-gems,film-poster/4/0/4/2/6/6/404266-uncut-gems-0-460-0-690-crop.jpg
Hereditary,2018,hereditary,film-poster/4/2/4/3/4/8/424348-hereditary-0-460-0-690-crop.jpg
Thor: Ragnarok,2017,thor-ragnarok,film-poster/2/0/9/3/8/2/209382-thor-ragnarok-0-460-0-690-crop.jpg
